source,description,description_clean,unit_clean,quantity,rate,material,grade,thickness_mm,thickness_assumed,emission_factor,ef_unit,ef_source,ef_label,cci,cci_label,cci_outlier,extr_method,prop_grade
PA,"Additional rate payable over & above -Item 2.03 from structural BOQ for reason indicated below :
PCC grade changed from M7.5(with 0% GGBS) to M10 (with 50% GGBS)",additional rate payable over above item 2 03 from structural boq for reason indicated below pcc grade changed from m7 5 with 0 ggbs to m10 with 50 ggbs,m3,610.0,49.0,concrete,M10,,False,232.8,kgCO2e/m3,ICE V4.1 Concrete CEM I M10,has_ef,0.2105,has_cci,False,grade_propagation,M10
PA,"Additional rate over & above -Item 2.05G due to variation in cementetious content for Raft foundation - (Cementetious content -350 Kg, at the provision of 60% cement: 40% GGBS) -M30 Grade (Only for core raft)
",additional rate over above item 2 05g due to variation in cementetious content for raft foundation cementetious content 350 kg at the provision of 60 cement 40 ggbs m30 grade only for core raft,m3,10041.13,85.0,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,0.2566,has_cci,False,grade_propagation,M30
PA,Additional rate over and above - Item 2.05 H of Stuctural BOQ due concrete grade change from M25 to M30,additional rate over and above item 2 05 h of stuctural boq due concrete grade change from m25 to m30,m3,1520.4430849999972,59.0,concrete,M25,,False,301.8,kgCO2e/m3,ICE V4.1 Concrete CEM I M25,has_ef,0.1955,has_cci,False,grade_propagation,M25
PA,M50 Grade of concrete,m50 grade of concrete,m3,1248.43,283.71144,concrete,M50,,False,420.0,kgCO2e/m3,ICE V4.1 Concrete CEM I M50,has_ef,0.6755,has_cci,False,grade_propagation,M50
PA,M40 Grade of concrete,m40 grade of concrete,m3,6470.03,503.1459875000001,concrete,M40,,False,381.5,kgCO2e/m3,ICE V4.1 Concrete CEM I M40,has_ef,1.3189,has_cci,False,grade_propagation,M40
PA,M35 Grade of concrete,m35 grade of concrete,m3,7499.23,514.5053425,concrete,M35,,False,356.3,kgCO2e/m3,ICE V4.1 Concrete CEM I M35,has_ef,1.444,has_cci,False,grade_propagation,M35
PA,M30 Grade of concrete,m30 grade of concrete,m3,31812.842236750013,510.3714374999999,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,1.541,has_cci,False,grade_propagation,M30
PA,M50 Grade of concrete - Over & above 2.05W Beam Qty,m50 grade of concrete over above 2 05w beam qty,m3,124.46,1689.34,concrete,M50,,False,420.0,kgCO2e/m3,ICE V4.1 Concrete CEM I M50,has_ef,4.0222,has_cci,False,grade_propagation,M50
PA,M40 Grade of concrete - Over & above 2.05W Beam Qty,m40 grade of concrete over above 2 05w beam qty,m3,718.9,442.77,concrete,M40,,False,381.5,kgCO2e/m3,ICE V4.1 Concrete CEM I M40,has_ef,1.1606,has_cci,False,grade_propagation,M40
PA,M35 Grade of concrete - Over & above 2.05W Beam Qty,m35 grade of concrete over above 2 05w beam qty,m3,858.25,183.13,concrete,M35,,False,356.3,kgCO2e/m3,ICE V4.1 Concrete CEM I M35,has_ef,0.514,has_cci,False,grade_propagation,M35
PA,Providing & fixing by using oxidized / SS / anticorrosive screws  in position decorative Gypsum cornice of size 170 mm x 170 mm as per  drawing details and directions from EIC. at all levels.,providing fixing by using oxidized ss anticorrosive screws in position decorative gypsum cornice of size x as per drawing details and directions from eic at all levels,m,28536.94171779141,326.0,concrete,M35,,False,356.3,kgCO2e/m3,"ICE V4.1 Concrete CEM I M35 [unit=m, review]",has_ef,0.915,has_cci,False,section_context,M35
PA,SD1 - 2.40m x 2.350m & SD1a - 2.40m x 2.25m,sd1 2 40m x 2 350m sd1a 2 40m x 2 25m,m2,5275.2,5178.0,concrete,M35,75.0,True,26.7225,kgCO2e/m2,ICE V4.1 Concrete CEM I M35 × 75mm,has_ef,193.7693,has_cci,False,section_context,M35
PA,W1- 2.4 x 2.25,w1 2 4 x 2 25,m2,11534.4,5178.0,concrete,M35,75.0,True,26.7225,kgCO2e/m2,ICE V4.1 Concrete CEM I M35 × 75mm,has_ef,193.7693,has_cci,False,section_context,M35
PA,W2- 1.8 x 1.2 for Staircase & FCR,w2 1 8 x 1 2 for staircase fcr,m2,80.68,5178.0,concrete,M35,75.0,True,26.7225,kgCO2e/m2,ICE V4.1 Concrete CEM I M35 × 75mm,has_ef,193.7693,has_cci,False,section_context,M35
PA,W3- 1.2 x 1.25-Kitchen& Utility,w3 1 2 x 1 25 kitchen utility,m2,751.5,5178.0,concrete,M35,75.0,True,26.7225,kgCO2e/m2,ICE V4.1 Concrete CEM I M35 × 75mm,has_ef,193.7693,has_cci,False,section_context,M35
PA,W4- 1.425 x 1.25 for Utility,w4 1 425 x 1 25 for utility,m2,406.125,5178.0,concrete,M35,75.0,True,26.7225,kgCO2e/m2,ICE V4.1 Concrete CEM I M35 × 75mm,has_ef,193.7693,has_cci,False,section_context,M35
PA,W8- 1.625 x 1.25- For Utility,w8 1 625 x 1 25 for utility,m2,197.031,5178.0,concrete,M35,75.0,True,26.7225,kgCO2e/m2,ICE V4.1 Concrete CEM I M35 × 75mm,has_ef,193.7693,has_cci,False,section_context,M35
